X_DIM  Y_DIM  X1_TYPE      X1_UNIQ  X2_TYPE      X2_UNIQ  POPULATION  CHART_TYPE
0      1      none         few      none         few      ignore      FIXME
1      1      categorical  few      none         few      ignore      bar_chart
1      1      categorical  few      none         few      ignore      bar_chart
1      1      categorical  many     none         few      ignore      FIXME
1      1      categorical  many     none         few      ignore      FIXME
1      1      sequence     few      none         few      ignore      line_chart
1      1      sequence     few      none         few      ignore      line_chart
1      1      sequence     many     none         few      ignore      line_chart
1      1      sequence     many     none         few      ignore      line_chart
1      1      numeric      few      none         few      ignore      scatter_plot
1      1      numeric      few      none         few      ignore      scatter_plot
1      1      numeric      many     none         few      ignore      scatter_plot
1      1      numeric      many     none         few      ignore      scatter_plot
1      1      time         few      none         few      ignore      FIXME
1      1      time         few      none         few      ignore      FIXME
1      1      time         many     none         few      ignore      FIXME
1      1      time         many     none         few      ignore      FIXME
2      1      categorical  few      categorical  few      ignore      grouped_bar_chart
2      1      categorical  few      categorical  few      ignore      grouped_bar_chart
2      1      categorical  few      categorical  many     ignore      heat_map  # why heat Map?
2      1      categorical  few      categorical  many     ignore      heat_map  # why heat Map?
2      1      categorical  few      sequence     few      ignore      line_chart_with_color_category
2      1      categorical  few      sequence     few      ignore      line_chart_with_color_category
2      1      categorical  few      sequence     many     ignore      line_chart_with_color_category
2      1      categorical  few      sequence     many     ignore      line_chart_with_color_category
2      1      categorical  few      numeric      few      ignore      scatter_plot_with_color_category
2      1      categorical  few      numeric      few      ignore      scatter_plot_with_color_category
2      1      categorical  few      numeric      many     ignore      scatter_plot_with_color_category
2      1      categorical  few      numeric      many     ignore      scatter_plot_with_color_category
2      1      categorical  many     categorical  many     ignore      heat_map
2      1      categorical  many     categorical  many     ignore      heat_map
2      1      categorical  many     sequence     few      ignore      FIXME
2      1      categorical  many     sequence     few      ignore      FIXME
2      1      categorical  many     sequence     many     ignore      FIXME
2      1      categorical  many     sequence     many     ignore      FIXME
2      1      categorical  many     numeric      few      ignore      FIXME
2      1      categorical  many     numeric      few      ignore      FIXME
2      1      categorical  many     numeric      many     ignore      FIXME
2      1      categorical  many     numeric      many     ignore      FIXME
2      1      sequence     few      sequence     few      ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      sequence     few      ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      sequence     many     ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      sequence     many     ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
