dept time_str count
AMST 09:00 6
AMST 09:30 3
AMST 10:00 7
AMST 10:05 9
AMST 10:40 2
AMST 13:30 16
AMST 13:55 2
AMST 14:30 1
AMST 15:00 7
AMST 15:05 9
AMST 15:30 4
AMST 16:05 9
AMST 17:00 1
AMST 19:15 4
ARAB 08:00 1
ARAB 08:30 1
ARAB 09:00 3
ARAB 09:05 3
ARAB 09:35 3
ARAB 10:30 2
ARAB 10:40 2
ARAB 11:30 1
ARAB 11:35 1
ARAB 11:45 6
ARAB 12:50 3
ARAB 13:30 4
ARAB 13:55 5
ARAB 14:30 1
ARAB 15:30 2
ARAB 16:05 5
ARTH 08:30 4
ARTH 09:00 3
ARTH 09:30 4
ARTH 09:35 4
ARTH 10:00 7
ARTH 10:05 12
ARTH 10:30 4
ARTH 10:40 6
ARTH 12:50 3
ARTH 13:00 1
ARTH 13:30 24
ARTH 13:55 2
ARTH 14:30 3
ARTH 15:00 13
ARTH 15:05 12
ARTH 15:30 4
ARTH 16:05 8
ARTH 16:30 2
ARTH 16:35 1
ARTH 17:00 3
ARTH 17:40 2
ARTH 18:30 1
ARTH 19:00 3
ARTH 19:15 2
ARTM 09:00 10
ARTM 10:00 1
ARTM 10:05 8
ARTM 13:00 1
ARTM 13:25 1
ARTM 13:30 18
ARTM 13:55 6
ARTM 15:00 7
ARTM 15:05 5
ARTM 16:05 10
ARTM 17:00 14
ARTM 17:40 4
ARTM 19:00 2
ARTM 19:15 10
ARTM 20:30 1
ARTS 09:00 69
ARTS 10:00 4
ARTS 13:00 3
ARTS 13:30 43
ARTS 13:55 10
ARTS 14:00 6
ARTS 14:25 1
ARTS 14:30 10
ARTS 15:00 4
ARTS 17:00 4
ARTS 17:40 2
ARTS 18:30 3
ARTS 19:00 18
ARTS 19:15 7
BICH 15:00 20
BICH 15:30 5
BIO 07:30 1
BIO 08:00 4
BIO 08:30 135
BIO 09:30 20
BIO 09:35 36
BIO 10:00 5
BIO 10:05 19
BIO 10:30 12
BIO 10:40 29
BIO 11:30 3
BIO 11:45 18
BIO 12:50 8
BIO 13:30 228
BIO 13:55 64
BIO 14:30 17
BIO 15:00 55
BIO 15:05 10
BIO 15:30 1
BIO 16:00 2
BIO 16:35 2
BIO 17:00 14
BIO 17:40 9
BIO 18:00 8
BIO 18:30 2
BIO 19:00 5
BIO 19:15 3
CHEM 08:30 167
CHEM 09:30 8
CHEM 09:35 26
CHEM 10:05 5
CHEM 10:30 15
CHEM 10:40 41
CHEM 11:30 11
CHEM 11:45 13
CHEM 12:50 11
CHEM 13:30 110
CHEM 13:55 41
CHEM 14:30 17
CHEM 15:00 9
CHEM 15:05 2
CHEM 15:30 5
CHEM 16:05 4
CHEM 16:30 1
CHEM 16:40 1
CHEM 17:00 2
CHEM 17:40 6
CHEM 18:30 29
CHEM 19:00 5
CHIN 08:00 1
CHIN 08:30 1
CHIN 09:00 6
CHIN 09:05 4
CHIN 09:35 1
CHIN 10:05 5
CHIN 10:40 5
CHIN 11:30 1
CHIN 11:45 1
CHIN 13:00 11
CHIN 13:30 4
CHIN 13:55 8
CHIN 14:30 9
CHIN 15:05 2
CHIN 15:30 1
CHIN 16:05 3
CHIN 16:30 1
CLAS 13:30 1
CLAS 15:05 1
CLAS 16:05 1
CLAS 19:15 2
COGS 08:30 12
COGS 09:00 1
COGS 09:30 5
COGS 09:35 8
COGS 10:00 1
COGS 10:05 4
COGS 10:30 6
COGS 10:40 15
COGS 11:45 7
COGS 12:50 4
COGS 13:30 30
COGS 13:55 6
COGS 14:30 4
COGS 15:00 9
COGS 15:30 1
COGS 16:05 2
COGS 19:00 3
COMP 08:30 6
COMP 09:35 1
COMP 10:00 3
COMP 10:05 5
COMP 11:30 1
COMP 11:40 4
COMP 11:45 3
COMP 12:50 6
COMP 13:30 8
COMP 14:00 1
COMP 15:00 11
COMP 15:05 10
COMP 16:05 9
COMP 17:00 8
CSLC 10:05 1
CSLC 13:30 5
CSLC 16:05 2
CSLC 17:00 2
CSLC 17:40 1
CSLC 19:15 3
CSP 09:30 4
CSP 09:35 13
CSP 10:00 1
CSP 10:05 3
CSP 10:30 16
CSP 10:40 6
CSP 11:30 132
CSP 11:45 262
CSP 12:30 15
CSP 12:50 58
CSP 13:30 21
CSP 13:55 1
CSP 14:30 2
CSP 15:05 2
CSP 15:30 1
CSP 16:05 2
CSP 17:00 2
CSP 20:30 1
CTSJ 08:30 3
CTSJ 09:30 3
CTSJ 09:35 6
CTSJ 10:00 6
CTSJ 10:05 10
CTSJ 10:30 2
CTSJ 10:40 8
CTSJ 11:45 6
CTSJ 12:30 1
CTSJ 12:50 2
CTSJ 13:30 24
CTSJ 13:55 2
CTSJ 14:00 1
CTSJ 14:30 2
CTSJ 15:00 9
CTSJ 15:05 15
CTSJ 15:30 5
CTSJ 16:05 6
CTSJ 17:00 17
CTSJ 17:40 1
CTSJ 19:00 5
CTSJ 19:15 5
DWA 08:30 2
DWA 09:30 4
DWA 09:35 5
DWA 10:00 10
DWA 10:05 17
DWA 10:30 4
DWA 10:40 8
DWA 13:00 9
DWA 13:30 51
DWA 13:55 8
DWA 14:30 5
DWA 15:00 21
DWA 15:05 29
DWA 15:30 8
DWA 16:05 21
DWA 16:40 3
DWA 17:00 11
DWA 17:40 12
DWA 18:30 1
DWA 19:00 3
DWA 19:15 22
ECLS 09:30 3
ECLS 09:35 3
ECLS 10:00 13
ECLS 10:05 6
ECLS 10:30 8
ECLS 10:40 5
ECLS 11:30 5
ECLS 11:45 2
ECLS 12:50 4
ECLS 13:30 20
ECLS 13:55 1
ECLS 14:30 9
ECLS 15:00 10
ECLS 15:05 9
ECLS 15:30 9
ECLS 16:05 7
ECLS 17:00 11
ECLS 17:40 3
ECLS 19:00 7
ECLS 19:15 2
ECON 08:30 25
ECON 09:30 6
ECON 09:35 19
ECON 10:00 17
ECON 10:05 38
ECON 10:30 15
ECON 10:40 24
ECON 11:30 10
ECON 11:45 4
ECON 12:50 8
ECON 13:30 60
ECON 13:55 19
ECON 14:30 8
ECON 15:00 26
ECON 15:05 38
ECON 15:30 11
ECON 16:05 15
ECON 16:30 1
ECON 16:40 1
ECON 17:00 3
ECON 19:00 3
ECON 19:15 3
EDUC 07:30 19
EDUC 08:00 5
EDUC 10:00 10
EDUC 10:05 7
EDUC 13:30 40
EDUC 14:30 15
EDUC 15:00 9
EDUC 15:05 21
EDUC 15:30 4
EDUC 16:00 2
EDUC 16:05 14
EDUC 17:00 45
EDUC 17:40 9
EDUC 19:00 19
EDUC 19:15 8
EDUC 20:30 2
