decay_rate	depth	type	recall_rate	stdev
0.25	3	stimuli	0.41	0.12
0.25	4	stimuli	0.18	0.12
0.25	5	stimuli	0.17	0.12
0.25	6	stimuli	0.11	0.09
0.5	3	stimuli	0.3	0.13
0.5	4	stimuli	0.15	0.12
0.5	5	stimuli	0.13	0.12
0.5	6	stimuli	0.11	0.09
0.75	3	stimuli	0.41	0.12
0.75	4	stimuli	0.14	0.11
0.75	5	stimuli	0.09	0.09
0.75	6	stimuli	0.09	0.09
0.9	3	stimuli	0.41	0.12
0.9	4	stimuli	0.12	0.1
0.9	5	stimuli	0.09	0.1
0.9	6	stimuli	0.08	0.09
0.25	3	lure	0.03	0
0.25	4	lure	0.28	0
0.25	5	lure	0.64	0
0.25	6	lure	0.72	0
0.5	3	lure	0.06	0
0.5	4	lure	0.17	0
0.5	5	lure	0.56	0
0.5	6	lure	0.64	0
0.75	3	lure	0	0
0.75	4	lure	0.14	0
0.75	5	lure	0.39	0
0.75	6	lure	0.56	0
0.9	3	lure	0	0
0.9	4	lure	0.08	0
0.9	5	lure	0.28	0
0.9	6	lure	0.47	0
0.25	3	external	0.13	0.12
0.25	4	external	0.13	0.13
0.25	5	external	0.13	0.12
0.25	6	external	0.13	0.1
0.5	3	external	0.59	0.13
0.5	4	external	0.7	0.13
0.5	5	external	0.59	0.13
0.5	6	external	0.59	0.11
0.75	3	external	0.86	0.12
0.75	4	external	0.87	0.12
0.75	5	external	0.79	0.11
0.75	6	external	0.83	0.11
0.9	3	external	0.84	0.12
0.9	4	external	0.86	0.1
0.9	5	external	0.87	0.12
0.9	6	external	0.89	0.11
