decay_rate	depth	avg_stimuli	std_stimuli	avg_lure	avg_external	std_external
0.25	3	0.41	0.12	0.03	0.13	0.12
0.25	4	0.18	0.12	0.28	0.13	0.13
0.25	5	0.17	0.12	0.64	0.13	0.12
0.25	6	0.11	0.09	0.72	0.13	0.1
0.5	3	0.30	0.13	0.06	0.59	0.13
0.5	4	0.15	0.12	0.17	0.70	0.13
0.5	5	0.13	0.12	0.56	0.59	0.13
0.5	6	0.11	0.09	0.64	0.59	0.11
0.75	3	0.41	0.12	0	0.86	0.12
0.75	4	0.14	0.11	0.14	0.87	0.12
0.75	5	0.09	0.09	0.39	0.79	0.11
0.75	6	0.09	0.09	0.56	0.83	0.11
0.9	3	0.41	0.12	0	0.84	0.12
0.9	4	0.12	0.1	0.08	0.86	0.1
0.9	5	0.09	0.1	0.28	0.87	0.12
0.9	6	0.08	0.09	0.47	0.89	0.11
